ET,NEE,dayind
1.474682903,-0.456532345,955
1.203077011,-0.291686126,956
1.697707468,-2.19245246,957
3.099386788,-3.303538518,958
3.231559592,-2.629132855,959
2.801966129,-2.486721071,960
3.234266436,-2.336420437,961
2.407534654,-2.388793538,962
2.418448567,-1.298298393,963
1.805813992,-1.483022072,964
2.040706114,-1.102526348,965
1.881612918,-2.183102761,966
1.880421254,-2.245714999,967
2.022019868,-3.052278391,968
2.116911009,-1.85383926,969
1.924512757,-1.692335463,970
1.98770386,-1.304236703,971
1.795365853,-1.09806575,972
1.752064646,-1.462940953,973
2.255275453,-1.230575234,974
2.201341357,-1.088134912,975
2.489537569,-1.354026022,976
1.90297828,-0.805743354,977
2.771470122,-0.692395066,978
2.430808933,-1.927859186,979
2.398985322,-3.296663206,980
3.288167829,-2.873891692,981
3.902481199,-2.664935676,982
3.00468298,-1.447075695,983
2.309898197,-3.567590865,984
3.115412994,-3.472713886,985
2.389151901,-2.905543512,986
3.130638705,-2.568964952,987
2.809257286,-2.961299679,988
2.742483389,-3.253331289,989
2.886914378,-3.227274458,990
1.15879232,-1.236766064,991
1.910695596,-2.106596342,992
2.222085579,-3.21705867,993
3.084378361,-3.909909049,994
3.095796203,-4.425543225,995
1.508212631,-3.369162827,996
1.653245416,-2.596126988,997
2.445534662,-3.266614494,998
2.336456574,-3.737344562,999
2.3930105,-2.393507519,1000
2.367720214,-1.38465263,1001
1.619533318,-2.884918655,1002
1.941940486,-2.175122676,1003
1.70466249,-0.922448331,1004
1.65330507,-4.509241902,1005
1.471057579,-2.946380503,1006
1.357992784,-2.96501115,1007
1.105952393,-1.6371386,1008
1.575666199,-2.349969566,1009
0.995963885,-3.109384715,1010
1.562707157,-1.092899051,1011
1.205866813,-1.774619773,1012
1.478960235,-3.688284695,1013
1.319448173,-2.008632272,1014
1.084446486,-2.378208268,1015
0.881097214,-2.257347748,1016
1.149785419,-2.830431786,1017
0.514898556,-2.733519736,1018
0.73892147,-1.997755134,1019
0.868796531,-1.95643494,1020
0.683031414,-1.620894347,1021
0.839253012,-1.647803864,1022
0.772229127,-2.421200321,1023
0.536775412,-1.035070842,1024
0.947774519,-2.147867892,1025
1.225453382,-2.886416475,1026
1.296039645,-2.940953501,1027
1.243695439,-3.095733973,1028
1.346657963,-3.890829792,1029
0.835983366,-2.797936362,1030
0.606739452,-0.142437512,1031
0.909589386,0.46378449,1032
0.906310234,0.246760398,1033
1.882358892,-0.840985357,1034
0.564128343,-0.689078805,1035
1.141134839,-0.690059479,1187
1.087806092,-1.82912264,1188
1.210979164,-2.743791735,1189
1.780963833,-3.207706377,1190
2.165144889,-3.083368529,1191
1.256709385,-3.106661269,1192
1.472330299,-3.516360154,1193
1.336896143,-2.658833488,1194
1.719743755,-2.749330512,1195
1.959474908,-3.685689238,1196
2.127301762,-4.071880699,1197
2.172973088,-2.271091023,1198
2.751265355,-4.093717778,1199
2.346074202,-3.69355236,1200
2.380254499,-4.288177069,1201
2.245363728,-4.153408532,1202
2.143449366,-3.50335498,1203
2.579757374,-3.408300286,1204
2.946882314,-4.834030969,1205
2.874533964,-5.017116948,1206
2.785175598,-2.542491939,1207
2.197116037,-3.744754748,1208
1.512450678,-3.362116718,1209
2.23590101,-5.60033224,1210
2.394411156,-5.537285877,1211
2.617771522,-5.122331218,1212
2.510640891,-4.447167132,1213
2.732604233,-5.318600735,1214
1.508382122,-3.648104513,1215
1.4888026,-3.521098998,1216
1.140840843,-2.962868195,1217
1.031802818,-2.133482725,1218
2.563443715,-3.827332439,1219
2.330079597,-4.486913838,1220
2.96062859,-4.021481054,1221
2.809319813,-4.686562529,1222
2.519954374,-5.53741365,1223
2.240208718,-5.464646159,1224
2.793713534,-4.266275563,1225
2.102517171,-6.453759144,1226
2.92096243,-3.310763855,1227
1.8806779,-4.96163946,1228
1.876596232,-5.310520983,1229
1.174082797,-3.446815095,1230
3.126050905,-5.418418487,1231
2.893312358,-4.637063565,1232
3.037631093,-3.618230922,1233
2.324598088,-3.815183625,1234
2.140902586,-5.403363755,1235
3.022336168,-5.231125295,1236
3.020767443,-2.920749798,1237
2.926199764,-2.949068925,1238
3.021040877,-2.878727825,1239
2.381742873,-5.847296513,1240
2.509620143,-4.238520496,1241
2.468212358,-4.103057532,1242
2.499252763,-2.847803944,1243
2.759857562,-3.849962316,1244
2.736522457,-3.937014441,1245
2.394697074,-3.305755413,1246
2.334622664,-3.538745944,1247
2.326771368,-4.45065419,1248
2.267452287,-4.681169038,1249
2.124849683,-3.660309971,1250
