ET,NEE,dayind
1.622894775,-1.264528698,260
1.298137116,-1.419019465,261
1.226733327,-1.10981222,262
1.181575906,-0.783781096,263
0.98325368,-0.96745535,264
1.751682271,-0.420689311,265
1.179111167,-0.893731616,266
0.976549468,-0.480952125,267
0.697228766,-0.510560874,268
0.499845622,-1.094233425,269
0.623293965,-1.056331321,270
0.580831649,-0.64088265,271
0.608222535,-0.700187275,272
0.453049171,-0.640483332,273
0.555764383,-0.723255601,274
0.404593118,-0.268009202,275
0.485009254,-0.426968565,276
0.40718101,-0.440902094,277
0.505238623,-0.444323427,278
1.970015322,0.27742376,279
2.146071388,-0.73714589,280
1.747774585,-1.047927272,281
1.675720738,-0.689524389,282
1.774696012,-0.543898821,283
1.48815484,-0.585006925,284
1.289931185,-0.199320071,285
1.200320822,-0.652209263,286
1.032343118,-1.605635308,287
0.442610273,0.500372975,288
1.546225315,-1.103636308,289
1.500988336,-1.211891619,290
1.588822958,-0.778191513,291
1.671779407,-0.873997495,292
1.459232448,-0.864264261,293
1.088074474,-0.352512136,294
2.438131837,-0.35398639,295
1.271572185,-1.087465779,296
1.217163839,-0.810602836,297
1.394342845,-0.112018886,298
1.276861071,-0.463723523,299
1.194813094,-0.448979035,300
0.814237315,-1.149582058,301
0.99415912,-0.803434791,302
1.12064474,-0.709591671,303
1.213247776,-0.582843864,304
1.214794027,-0.385437578,305
0.192165884,-0.398403621,457
0.734013042,-1.159923674,458
0.416187819,-1.010718732,459
0.326539848,-1.829011514,460
0.291935993,-1.337866086,461
0.682817212,-1.317715784,462
0.373359135,-1.083542217,463
0.300499348,-0.349519091,464
0.256284462,-1.331826595,465
0.301468497,-0.99947276,466
1.049023656,-0.525294983,467
1.408619369,-0.833474423,468
1.666530754,-1.189392974,469
1.21769595,-0.660979767,470
0.778205181,-1.163033898,471
0.616339552,-1.740205375,472
0.47349067,-1.438496094,473
0.969335646,-1.635308268,474
0.752056355,-1.485721953,475
0.616970449,-0.841963653,476
0.536851285,-0.592057791,477
0.463909552,-0.281687617,478
0.47544576,-0.631268973,479
0.440103623,-0.725218679,480
0.397976929,-0.50042897,481
0.402342132,-1.340362524,482
0.402978534,-1.249449103,483
0.413838308,-0.754737489,484
0.379565886,-0.612351648,485
0.383937586,-0.594029949,486
0.347261571,-0.356555471,487
0.709592225,-0.691964832,488
0.517646327,-1.024207325,489
0.343090395,-0.636843423,490
0.370219245,-0.296813045,491
0.325010403,-0.278437296,492
0.402369969,-0.025793719,493
0.325764288,-0.093787773,494
0.309756582,-0.663167691,495
0.434407738,-0.187539658,496
0.69658517,-0.165635125,497
0.420802319,-0.11011483,498
0.307173079,-0.245048758,499
0.393759586,-0.631526465,500
0.323594262,-0.105449494,501
0.304902616,0.006563987,502
0.691328983,-0.503035237,503
0.342736085,-0.274259486,504
0.348412109,-0.310244995,505
0.197985951,-0.435397261,506
0.675179557,-0.114779951,507
1.488868504,0.048906798,508
2.458842671,0.169435886,509
2.612183141,-0.068962189,510
1.332835486,-0.310001772,511
1.443194468,-0.534359517,512
1.231348514,-0.526169937,513
1.552048824,-0.269009766,514
1.19016011,-0.40515462,515
1.070690971,-0.096539974,516
1.290383604,-0.184827886,517
0.859870852,-0.466157047,518
